batting_team,bowling_team,venue,target_score,current_score,overs_left,wickets_left,winner
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,147,23,19.1,7,0
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,179,97,12.0,4,0
Chennai Super Kings,Rajasthan Royals,M. Chinnaswamy Stadium,179,63,13.5,2,0
Mumbai Indians,Delhi Capitals,Eden Gardens,184,66,0.6,4,0
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,219,0,10.0,3,0
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,197,4,3.7,4,0
Punjab Kings,Chennai Super Kings,Eden Gardens,137,53,12.1,2,0
Chennai Super Kings,Sunrisers Hyderabad,Feroz Shah Kotla,208,20,5.1,8,0
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,171,149,8.2,10,1
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,132,78,0.2,5,0
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,209,129,12.4,3,0
Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,217,126,12.3,5,1
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,125,1,4.9,8,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Eden Gardens,207,66,18.9,8,1
Mumbai Indians,Rajasthan Royals,MA Chidambaram Stadium,207,134,4.5,9,0
Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla,185,104,5.8,8,0
Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,180,12,19.3,7,0
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,135,0,9.5,5,0
Sunrisers Hyderabad,Royal Challengers Bangalore,MA Chidambaram Stadium,196,49,14.5,4,0
Royal Challengers Bangalore,Mumbai Indians,Narendra Modi Stadium,128,99,0.9,5,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Narendra Modi Stadium,191,46,5.2,8,0
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,158,26,1.6,7,0
Rajasthan Royals,Mumbai Indians,Eden Gardens,149,66,15.1,6,1
Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,141,13,13.4,4,0
Sunrisers Hyderabad,Royal Challengers Bangalore,MA Chidambaram Stadium,159,1,8.3,9,0
Punjab Kings,Mumbai Indians,Wankhede Stadium,132,94,19.5,3,1
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,126,97,18.0,5,1
Punjab Kings,Chennai Super Kings,MA Chidambaram Stadium,183,133,0.8,3,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Eden Gardens,220,29,18.0,7,0
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,182,101,19.2,1,0
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,200,27,0.5,0,0
Punjab Kings,Kolkata Knight Riders,Eden Gardens,152,58,4.7,2,0
Kolkata Knight Riders,Punjab Kings,Eden Gardens,177,58,18.6,5,0
Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,193,189,2.9,7,1
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,121,41,1.4,8,0
Delhi Capitals,Rajasthan Royals,Narendra Modi Stadium,196,191,19.9,9,1
Kolkata Knight Riders,Delhi Capitals,MA Chidambaram Stadium,138,104,4.0,8,1
Chennai Super Kings,Rajasthan Royals,Eden Gardens,189,2,7.3,7,0
Royal Challengers Bangalore,Kolkata Knight Riders,MA Chidambaram Stadium,195,189,5.5,2,1
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,148,138,5.6,8,1
Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,204,81,11.0,5,0
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,175,39,11.4,0,0
Kolkata Knight Riders,Rajasthan Royals,Wankhede Stadium,202,150,11.4,5,1
Punjab Kings,Rajasthan Royals,MA Chidambaram Stadium,199,199,2.1,0,1
Rajasthan Royals,Mumbai Indians,Feroz Shah Kotla,193,134,3.8,10,1
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,127,55,19.9,2,0
Sunrisers Hyderabad,Delhi Capitals,Feroz Shah Kotla,204,90,6.6,8,0
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,213,37,17.1,1,0
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,139,61,11.3,4,0
Rajasthan Royals,Punjab Kings,Feroz Shah Kotla,120,22,12.0,9,1
Rajasthan Royals,Delhi Capitals,Eden Gardens,179,39,3.2,4,0
Chennai Super Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,152,135,11.9,5,1
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,209,102,5.7,0,0
Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,169,153,7.9,5,1
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,195,40,15.7,1,0
Delhi Capitals,Royal Challengers Bangalore,Wankhede Stadium,136,128,16.6,8,1
Sunrisers Hyderabad,Mumbai Indians,Feroz Shah Kotla,198,140,14.0,1,1
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,220,130,18.5,7,1
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,186,126,14.5,1,1
Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,198,136,3.1,1,0
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,129,9,9.1,3,0
Sunrisers Hyderabad,Royal Challengers Bangalore,M. Chinnaswamy Stadium,129,104,15.3,3,1
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,155,122,19.5,1,1
